model,epoch,train_mse,holdout_mse,train_seconds,eval_seconds,cumulative_train_seconds,cumulative_train_eval_seconds
DCRNN K=1,1,0.338638,0.474051,17.3754,289.4422,17.3754,306.8176
DCRNN K=1,2,0.261555,0.342389,20.0817,288.8057,37.4571,615.705
DCRNN K=1,3,0.199703,0.255773,19.6374,302.2195,57.0945,937.5619
DCRNN K=1,4,0.156398,0.229326,19.3285,295.6965,76.423,1252.5869
DCRNN K=1,5,0.133355,0.241044,19.1818,294.748,95.6048,1566.5167000000001
DCRNN K=1,6,0.11954,0.195883,19.5314,297.5026,115.1362,1883.5507
DCRNN K=1,7,0.107241,0.150443,17.5641,297.5072,132.7003,2198.622
DCRNN K=1,8,0.095236,0.121292,19.4752,301.5673,152.1755,2519.6645
DCRNN K=1,9,0.079924,0.0989,19.5706,299.7095,171.7461,2838.9446
DCRNN K=1,10,0.071025,0.08923,18.9526,292.3525,190.6987,3150.2497
DCRNN K=1,11,0.066285,0.082231,18.5999,295.6373,209.2986,3464.4869
DCRNN K=1,12,0.062563,0.076418,19.0304,293.5116,228.329,3777.0289
DCRNN K=1,13,0.059456,0.071113,19.2274,297.9956,247.5564,4094.2518999999998
DCRNN K=1,14,0.056726,0.065925,19.2395,293.7661,266.7959,4407.2575
DCRNN K=1,15,0.054379,0.061394,19.5451,293.9595,286.341,4720.7621
DCRNN K=1,16,0.052434,0.057697,18.7565,300.6106,305.0975,5040.129199999999
DCRNN K=1,17,0.050701,0.054393,19.3322,294.1292,324.4297,5353.5905999999995
DCRNN K=1,18,0.049199,0.051499,19.0257,296.1442,343.45540000000005,5668.760499999999
DCRNN K=1,19,0.04786,0.048934,18.1048,299.538,361.56020000000007,5986.4033
DCRNN K=1,20,0.046678,0.046677,19.46,300.3358,381.02020000000005,6306.1991
DCRNN K=1,21,0.045608,0.044669,19.1142,293.7947,400.1344,6619.108
DCRNN K=1,22,0.044639,0.042863,18.4857,293.7677,418.62010000000004,6931.361400000001
DCRNN K=1,23,0.043749,0.041224,19.3761,292.6197,437.99620000000004,7243.3572
DCRNN K=1,24,0.042933,0.039726,19.3945,294.7349,457.39070000000004,7557.486600000001
DCRNN K=1,25,0.042183,0.038364,19.0829,294.1987,476.47360000000003,7870.768200000001
DCRNN K=1,26,0.041501,0.037117,15.9612,293.8518,492.43480000000005,8180.581200000001
DCRNN K=1,27,0.040874,0.035986,19.354,292.2369,511.78880000000004,8492.172100000002
DCRNN K=1,28,0.040304,0.03495,19.3588,294.8793,531.1476,8806.410200000002
DCRNN K=1,29,0.03978,0.034014,19.479,297.1557,550.6266,9123.0449
DCRNN K=1,30,0.039297,0.033141,19.1561,293.2039,569.7827000000001,9435.404900000001
DCRNN K=1,31,0.038843,0.032298,19.0311,293.0505,588.8138000000001,9747.4865
DCRNN K=1,32,0.038411,0.031496,18.398,301.5191,607.2118000000002,10067.403600000001
DCRNN K=1,33,0.03799,0.030806,18.9636,295.0717,626.1754000000002,10381.438900000001
DCRNN K=1,34,0.037629,0.030036,17.7794,292.0947,643.9548000000002,10691.313
DCRNN K=1,35,0.037221,0.029459,19.1547,292.9537,663.1095000000003,11003.421400000001
DCRNN K=1,36,0.036908,0.028765,17.167,293.6838,680.2765000000003,11314.272200000001
DCRNN K=1,37,0.036527,0.028218,19.5199,293.5739,699.7964000000003,11627.366000000002
DCRNN K=1,38,0.036226,0.027639,19.2011,296.1493,718.9975000000003,11942.7164
DCRNN K=1,39,0.03589,0.027116,17.3157,290.8406,736.3132000000003,12250.8727
DCRNN K=1,40,0.035612,0.026612,18.8991,293.5039,755.2123000000003,12563.2757
DCRNN K=1,41,0.035316,0.026134,18.518,296.6799,773.7303000000003,12878.4736
DCRNN K=1,42,0.035064,0.025701,18.1708,296.1292,791.9011000000003,13192.773599999999
DCRNN K=1,43,0.034824,0.025349,18.7833,298.9658,810.6844000000003,13510.522699999998
DCRNN K=1,44,0.034638,0.025008,19.4268,296.867,830.1112000000003,13826.816499999997
DCRNN K=1,45,0.034433,0.024684,19.6547,292.9048,849.7659000000003,14139.375999999998
DCRNN K=1,46,0.034268,0.024341,19.2491,296.9507,869.0150000000003,14455.575799999999
DCRNN K=1,47,0.034076,0.024056,19.2661,295.4389,888.2811000000004,14770.280799999997
DCRNN K=1,48,0.033932,0.023902,19.4306,292.8546,907.7117000000004,15082.565999999997
DCRNN K=1,49,0.033776,0.02372,19.5832,294.9669,927.2949000000004,15397.116099999997
DCRNN K=1,50,0.03367,0.023346,19.38,296.8523,946.6749000000004,15713.348399999997
DCRNN K=1,51,0.033482,0.023112,19.3801,296.7148,966.0550000000004,16029.443299999997
DCRNN K=1,52,0.033333,0.022585,19.4728,296.3057,985.5278000000004,16345.221799999998
DCRNN K=1,53,0.033162,0.022612,19.18,294.5183,1004.7078000000004,16658.9201
DCRNN K=1,54,0.033063,0.022606,19.2631,293.8871,1023.9709000000004,16972.0703
DCRNN K=1,55,0.032945,0.022139,19.7754,295.4812,1043.7463000000005,17287.326899999996
DCRNN K=1,56,0.032814,0.021961,18.9646,296.0215,1062.7109000000005,17602.313
DCRNN K=1,57,0.032722,0.021872,19.2888,294.0724,1081.9997000000005,17915.674199999998
DCRNN K=1,58,0.0326,0.021601,19.8289,293.2485,1101.8286000000005,18228.7516
DCRNN K=1,59,0.032498,0.02169,19.7235,298.5698,1121.5521000000006,18547.0449
DCRNN K=1,60,0.032423,0.021413,19.5063,295.93,1141.0584000000006,18862.481200000002
DCRNN K=1,61,0.032333,0.02127,19.6199,297.684,1160.6783000000005,19179.7851
DCRNN K=1,62,0.032229,0.021022,19.9747,299.2988,1180.6530000000005,19499.058600000004
