model,arm,epoch,train_mse,val_mse
DCRNN,exact,1,0.29783381356133354,0.47892106496370757
DCRNN,exact,2,0.21392864651150173,
DCRNN,exact,3,0.1715054953539813,
DCRNN,exact,4,0.14979131133468063,
DCRNN,exact,5,0.1331278262314973,0.25302124940432036
DCRNN,exact,6,0.12025665795361554,
DCRNN,exact,7,0.10971097151438396,
DCRNN,exact,8,0.10097958864989104,
DCRNN,exact,9,0.09365828390474673,
DCRNN,exact,10,0.08747312757703993,0.15364306706648606
DCRNN,cache,1,0.2978431560375072,0.47889522405771107
DCRNN,cache,2,0.21390170521206325,
DCRNN,cache,3,0.17149169356734664,
DCRNN,cache,4,0.14977805702774613,
DCRNN,cache,5,0.13311670003113923,0.25299835205078125
DCRNN,cache,6,0.12024841043684217,
DCRNN,cache,7,0.10970638416431568,
DCRNN,cache,8,0.10097702785774514,
DCRNN,cache,9,0.09365696377224392,
DCRNN,cache,10,0.08747410774230957,0.15364830769025362
DCRNN,smooth,1,0.29832935333251953,0.4684425500723032
DCRNN,smooth,2,0.20812233289082846,
DCRNN,smooth,3,0.16933084417272498,
DCRNN,smooth,4,0.14915295000429507,
DCRNN,smooth,5,0.13401186024701153,0.2551477872408353
DCRNN,smooth,6,0.12259112022541187,
DCRNN,smooth,7,0.11375488175286187,
DCRNN,smooth,8,0.10661850152192293,
DCRNN,smooth,9,0.10075600500460025,
DCRNN,smooth,10,0.09578588715306034,0.1627513078542856
GConvGRU,exact,1,0.3901936919600875,0.7211092802194449
GConvGRU,exact,2,0.3133816012629756,
GConvGRU,exact,3,0.25441706622088395,
GConvGRU,exact,4,0.21274016521595143,
GConvGRU,exact,5,0.1878299183315701,0.35121827859144944
GConvGRU,exact,6,0.1653058617203324,
GConvGRU,exact,7,0.1450981652295148,
GConvGRU,exact,8,0.13858198236536096,
GConvGRU,exact,9,0.1331800001638907,
GConvGRU,exact,10,0.12830335122567635,0.2505971651810866
GConvGRU,cache,1,0.39019893716882775,0.7211162860576923
GConvGRU,cache,2,0.31334519386291504,
GConvGRU,cache,3,0.2543890564529984,
GConvGRU,cache,4,0.21268725395202637,
GConvGRU,cache,5,0.18777520568282516,0.35112472680898815
GConvGRU,cache,6,0.1651749434294524,
GConvGRU,cache,7,0.145100266845138,
GConvGRU,cache,8,0.13859309532024242,
GConvGRU,cache,9,0.13320012004287154,
GConvGRU,cache,10,0.12833992198661523,0.25073049618647647
GConvGRU,smooth,1,0.3917921207569264,0.6924359248234675
GConvGRU,smooth,2,0.3080015270798295,
GConvGRU,smooth,3,0.24503263720759638,
GConvGRU,smooth,4,0.2042739567933259,
GConvGRU,smooth,5,0.18256826753969546,0.3374473865215595
GConvGRU,smooth,6,0.1696781317392985,
GConvGRU,smooth,7,0.16076223938553422,
GConvGRU,smooth,8,0.1542585602513066,
GConvGRU,smooth,9,0.1491861475838555,
GConvGRU,smooth,10,0.1446650469744647,0.2850180222437932
